"ref_area.label","source.label","indicator.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Indonesia","LFS - National Labour Force Survey","Employment by sex, status in employment and economic activity (thousands)","Total","Status in employment (Aggregate): Total","Economic activity (Aggregate): Agriculture","2022",39595.586,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","LFS - National Labour Force Survey","Employment by sex, status in employment and economic activity (thousands)","Total","Status in employment (Aggregate): Total","Economic activity (Aggregate): Manufacturing","2022",18883.309,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","LFS - National Labour Force Survey","Employment by sex, status in employment and economic activity (thousands)","Total","Status in employment (Aggregate): Total","Economic activity (Aggregate): Construction","2022",8295.684,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","LFS - National Labour Force Survey","Employment by sex, status in employment and economic activity (thousands)","Total","Status in employment (Aggregate): Total","Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply","2022",2388.332,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","LFS - National Labour Force Survey","Employment by sex, status in employment and economic activity (thousands)","Total","Status in employment (Aggregate): Total","Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services","2022",46480.643,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","LFS - National Labour Force Survey","Employment by sex, status in employment and economic activity (thousands)","Total","Status in employment (Aggregate): Total","Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities","2022",19564.82,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","LFS - National Labour Force Survey","Employment by sex, status in employment and economic activity (thousands)","Male","Status in employment (Aggregate): Total","Economic activity (Aggregate): Total","2022",82240.992,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","LFS - National Labour Force Survey","Employment by sex, status in employment and economic activity (thousands)","Male","Status in employment (Aggregate): Total","Economic activity (Aggregate): Agriculture","2022",25544.026,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","LFS - National Labour Force Survey","Employment by sex, status in employment and economic activity (thousands)","Male","Status in employment (Aggregate): Total","Economic activity (Aggregate): Manufacturing","2022",10644.246,,,,"Repository: ILO-STATISTICS - Micro data processing"
"Indonesia","LFS - National Labour Force Survey","Employment by sex, status in employment and economic activity (thousands)","Male","Status in employment (Aggregate): Total","Economic activity (Aggregate): Construction","2022",8157.234,,,,"Repository: ILO-STATISTICS - Micro data processing"
